"K1","A","DIGOXIN.dd>0.1 AND B1","Digoksin v dolgotrajni dozi nad 125 μg v prisotnosti okvarjene ledvične funkcije je potencialno neprimeren zaradi večje nevarnosti toksičnosti.","Digoxin at a long-term dose > 125 μg with impaired renal function (estimated GFT >50ml/min) is potentially inappropriate because of increased toxicity risk."
"K2","AB","(FUROSEMID.dd>0 OR TORASEMID.dd>0 OR LOOP_DIURETICS.dd>0) AND NOT (B4 OR B29) AND V1","Ni dokazov za učinkovitost diuretikov zanke za zdravljenje statičnega edema gležnjev v odsotnosti znakov srčnega popuščanja. Bolj primerne so kompresijske nogavice.","There is no evidence of efficacy for prescribing loop diuretic for dependent ankle oedema only (with no clinical signs of heart failure)."
"K3","AB","(FUROSEMID.dd>0 OR TORASEMID.dd>0 OR LOOP_DIURETICS.dd>0) AND NOT (B4 OR B29) AND V2","Diuretiki zanke niso zdravilo izbora kot prva linija monoterapije za hipertenzijo. Obstajajo varnejše in učinkovitejše alternative.","Loop diuretic as first-line monotherapy for hypertension is potentially inappropriate; there are safer and more effective alternatives."
"K4","A","(THIAZIDE.dd>0 AND B2)","Tiazidni diuretiki lahko poslabšajo putiko.","Thiaside diuretic may exacerbate gout and are therefore inappropriate in a patient with history of gout."
"K5","A","(NONSELECTIVE_BB.dd>0) AND (B3 OR B40)","Neselektivni beta blokatorji lahko povzročijo brohnospazem.","In a patient with COPD, non-selective beta blockers may cause bronchospasm."
"K6","AB","(BETABLOCKERS.dd>0) AND (VERAPAMIL.dd>0)","Kombinacija verapamila in beta blokatorja lahko povzroči simptomatski srčni blok (kardiogeni šok).","Beta blockers in combination with verapamil may cause symptomatic heart block."
"K7","AB","(DILTIAZEM.dd>0 OR VERAPAMIL.dd>0) AND B4","Diltiazem ali verapamil pri srčnem popuščanju NYHA III ali IV lahko poslabšata srčno popuščanje.","Use of diltiazem or verapamil in patients with NYHA Class III or IV heart failure may worsen heart failure."
"K8","A","(CALCIUM_ANTAGONISTS.dd>0) AND B5","Kalcijevi antagonisti lahko poslabšajo kronično zaprtje.","Calcium channel blockers may exacerbate constipation in chronically constipated patients."
"K9","A","((ASPIRIN.dd>0 OR ASPIRIN_ATC.dd>0) AND WARFARIN.dd>0) AND NOT (H2ANTAGONISTS.dd>0 OR PPI.dd>0)","Ob kombinaciji aspirina in varfarina naj bi starostnik prejemal histaminski H2 antagonist ali inhibitor protonske črpalke.","Use of aspirin and warfarin in combination without histamine H2 receptor antagonist (except cimetidine because of interaction with warfarin) or proton pump inhibitor is potentially inappropriate because of high risk of gastro-intestinal bleeding."
"K10","A","DIPIRIDAMOLE.dd>0 AND NOT ((ASPIRIN.dd>0 OR ASPIRIN_ATC.dd>0) OR TICLOPIDINE.dd>0 OR CLOPIDOGREL.dd>0) ","Monoterapija z dipiridamolom v sekundarni preventivi nima dokazov o učinkovitosti.","There is no evidence for efficacy of dipyridamole as monotherapy for cardiovascular secondary prevention."
"K11","AB","((ASPIRIN.dd>0 OR ASPIRIN_ATC.dd>0) AND (B6 OR B47 OR B7)) AND NOT (H2ANTAGONISTS.dd>0 OR PPI.dd>0)","Redno jemanje aspirina v prisotnosti GERB ali ob anamnezi želodčne razjede pomeni večje tveganje za krvavitev.","Use of aspirin in a patient with a past history of pepetic ulcer disease without histamine H2 receptor antagonist or proton pump inihibitor may increase risk of bleeding."
"K12","A","ASPIRIN.dd>150 OR ASPIRIN_ATC.dd>150","Jemanje aspirina v dozi, večji od 150mg/s, predstavlja povečano tveganje za krvavitve, ob tem pa ni dokazov za večjo učinkovitost.","Aspirin at dose >150 mg/day may cause increased bleeding risk and there is no evidence for increased efficacy."
"K13","A","(ASPIRIN.dd>0 OR ASPIRIN_ATC.dd>0) AND NOT (B8 OR B9 OR B10 OR B11 OR B12 OR B13 OR ((B32 OR B56) AND (B52 OR B28 OR B53 OR V28)) OR (B37 AND B54))","Če v anamnezi ni koronarnih, cerebralnih ali perifernih arterijskih simptomov ali okluzivnega arterijskega dogodka, aspirin ni indiciran.","Aspirin with no history of coronary, cerebral or peripheral arterial symptoms or occlusive arterial event is not indicated."
"K14","A","(ASPIRIN.dd>0 OR ASPIRIN_ATC.dd>0) AND B14 AND NOT (B8 OR B9 OR B10 OR B11 OR B12 OR B13 OR ((B32 OR B56) AND (B52 OR B28 OR B53 OR V28)) OR (B37 AND B54))","Aspirin ni indiciran za zdravljenje vrtoglavice, ki je ni mogoče jasno pripisati cerebrovaskularni bolezni","Aspirin used to treat dizziness not clearly attributable to cerebrovascular disease is not indicated."
"K15","A","WARFARIN.dd>0 AND B15 AND V4 AND V5 AND V6","Ni dokazov za dodatno korist pri zdravljenju prve, nezapletene globoke venske tromboze z varfarinom dlje kot 6 mesecev","Warfarin for first, uncomplicated deep venous thrombosis for longer than 6 months duration has no proven benefit."
"K16","A","WARFARIN.dd>0 AND B16 AND V7 AND V8 AND V9","Ni dokazov za dodatno korist pri zdravljenju prve, nezapletene pljučne embolije z varfarinom dlje kot 12 mesecev","Warfarin for first uncomplicated pulmonary embolus for longer than 12 months duration has no proven benefit."
"K17","A","((ASPIRIN.dd>0 OR ASPIRIN_ATC.dd>0) OR CLOPIDOGREL.dd>0 OR DIPIRIDAMOLE.dd>0 OR WARFARIN.dd>0 OR TICLOPIDINE.dd>0) AND B17","Uporaba antikoagulantnih ali antitrombotičnih zdravil v prisotnosti motnje strjevanja krvi ni priporočena zaradi visokega tveganja krvavitve","Aspirin, clopidogrel, dipyridamole or warfarin are potentially inappropriate with concurrent bleeding disorders because of high risk of bleeding."
"K18","A","(TRICYCLICS.dd>0) AND B18","Uporaba tricikličnih antidepresivov ob demenci lahko povzroči poslabšanje kognitivne okvare","Tricyclic antidepressants with dementia may worsen cognitive impairment."
"K19","A","(TRICYCLICS.dd>0) AND B19","Uporaba tricikličnih antidepresivov lahko povzroči poslabšanje glavkoma.","Tricyclic antidepressants with glaucoma may exacerbate glaucoma."
"K20","A","(TRICYCLICS.dd>0) AND B20","Uporaba tricikličnih antidepresivov ima proaritmogeni učinek.","Tricyclic antidepressants with cardiac conductive abnormalities may have pro-arrythmic effect."
"K21","A","(TRICYCLICS.dd>0) AND B5","Uporaba tricikličnih antidepresivov lahko poslabša zaprtje.","Tricyclic antidepressants with constipation are likely to worsen it."
"K22","A","(TRICYCLICS.dd>0) AND (CALCIUM_ANTAGONISTS.dd>0 OR OPIOIDS_ALL.dd>0)","Uporaba tricikličnih antidepresivov skupaj z opiati ali kalcijevimi antagonisti lahko povzroči hudo zaprtje.","Use of tricyclic antidepressants together with an opaite or calcium channel blocker may cause severe constipation."
"K23","A","(TRICYCLICS.dd>0) AND (B21 OR B22)","Uporaba tricikličnih antidepresivov pri prostatizmu ali ob anamnezi prejšnjega pojava retence urina poveča tveganje za retenco urina.","Tricyclic antidepressants are potentially inappropriate with prostatism or a prior history of urinary retention because of increased risk of urinary retention."
